"ID_на_сайте","Наименование","Ссылка","Промо_цена","Регулярная_цена","Бренд"
18416930,"Кастрюля Agness Fruit Basket эмалированная с крышкой, 2,8 л",https://www.auchan.ru/product/kastryulya-emal-s-kr-2-8l-agness,,239398,Agness
18416931,"Кастрюля Agness Fruit Basket эмалированная с крышкой, 3,6 л",https://www.auchan.ru/product/kastryulya-emal-s-kr-3-6l-agness,,243698,Agness
19796432,"Кастрюля Agness Royal Garden с крышкой, 2,1 л",https://www.auchan.ru/product/kast-2-1l-emal-s-krysh-induk-agness,499000,694299,Agness
19796472,"Кастрюля Agness Royal Garden с крышкой, 3,8 л",https://www.auchan.ru/product/kast-3-8l-emal-s-krysh-induk-agness,599000,873599,Agness
19170957,"Кастрюля Agness со стекляной крышкой, 3,5 л",https://www.auchan.ru/product/kastryulya-so-stekl-kryshkoy-3-5l,179995,257998,Agness
1759365,"Кастрюля Appetite Кантри для индукционных плит, 2 л",https://www.auchan.ru/product/kastryulya-kantri-dlya-indukcionnyh-plit-2-l,,63799,Appetite
904599,"Кастрюля Appetite Кантри эмалированная для индукционных плит, 3 л",https://www.auchan.ru/product/kastryulya-kantri-emalirovannaya-dlya-indukcionnyh-plit-3-l,,73599,Appetite
982430,"Кастрюля Appetite Кантри эмалированная для индукционных плит, 4,5 л",https://www.auchan.ru/product/kastryulya-kantri-emalirovannaya-dlya-indukcionnyh-plit-4-5-l,,82999,Appetite
1703138,"Кастрюля Appetite Париж эмалированная для индукционных плит, 2 л",https://www.auchan.ru/product/kastryulya-parizh-emalirovannaya-dlya-indukcionnyh-plit-2-l,,85699,Appetite
1623260,"Кастрюля Appetite Париж эмалированная для индукционных плит, 3 л",https://www.auchan.ru/product/kastryulya-parizh-emalirovannaya-dlya-indukcionnyh-plit-3-l,,89199,Appetite
1623265,"Кастрюля Appetite Париж эмалированная для индукционных плит, 5,5 л",https://www.auchan.ru/product/kastryulya-parizh-emalirovannaya-dlya-indukcionnyh-plit-5-5-l,,114499,Appetite
984137,"Кастрюля Atmosphere Omega, 1,4 л",https://www.auchan.ru/product/kastryulya-s-kryshkoy-atmosphere-omega-1-4-l,,131399,Аtmosphere
984138,"Кастрюля Atmosphere Omega, 1,9 л",https://www.auchan.ru/product/kastryulya-s-kryshkoy-atmosphere-omega-1-9-l,99995,157499,Аtmosphere
984139,"Кастрюля Atmosphere Omega, 2,8 л",https://www.auchan.ru/product/kastryulya-s-kryshkoy-atmosphere-omega-2-8-l,,164299,Аtmosphere
20029929,"Кастрюля Bergner Ion plus, 20 см",https://www.auchan.ru/product/kastryul-ion-plus-20sm,374900,499999,Bergner
20029930,"Кастрюля Bergner Ion plus, 24 см",https://www.auchan.ru/product/kastryul-ion-plus-24sm,429000,539999,Bergner
20029931,"Кастрюля Bergner Ion plus, 28 см",https://www.auchan.ru/product/kastryul-ion-plus-28sm,499000,599999,Bergner
17443224,"Кастрюля Guffman Fiesta, 2,8 л",https://www.auchan.ru/product/t02-01120r-kastryulya-fiesta2-8l,199995,277999,Guffman
17443226,"Кастрюля Guffman Fiesta, 4,2 л",https://www.auchan.ru/product/t02-01222r-kastryulya-fiesta4-2l,179995,317999,Guffman
14489980,"Кастрюля Guffman керамическая 25 см, 3 л",https://www.auchan.ru/product/kastryulya-keramicheskaya-3l,219994,437299,Guffman
15812928,"Кастрюля Hitt Flammkuchen со стеклянной крышкой, 2,6 л",https://www.auchan.ru/product/kastryulya-st-kr-2-6l-flamm,159995,253798,Hitt
986367,"Кастрюля Hitt Flammkuchen стальная для индукционных плит, 3,6 л",https://www.auchan.ru/product/kastryulya-s-kryshkoy-hitt-flammkuchen-stalnaya-dlya-indukcionnyh-plit-3-6-l,,230998,Hitt
986368,"Кастрюля Hitt Flammkuchen стальная для индукционных плит, 5,9 л",https://www.auchan.ru/product/kastryulya-s-kryshkoy-hitt-flammkuchen-stalnaya-dlya-indukcionnyh-plit-5-9-l,,285999,Hitt
18827399,"Кастрюля Hitt Kitchen с крышкой, 1,45 л",https://www.auchan.ru/product/kastryulya-1-45l-s-kr-emal-2,,69399,Hitt
18827403,"Кастрюля Hitt Kitchen с крышкой, 2,9 л",https://www.auchan.ru/product/kastryulya-2-9l-s-kr-emal-2,,93599,Hitt
19778147,"Кастрюля Hitt Köln со стеклянной крышкой 5,8 л, 24х14 см",https://www.auchan.ru/product/kastryulya-5-8l-so-steklyan-krysh-koln,145900,182599,Hitt
19796493,"Кастрюля Hitt Köln со стеклянной крышкой, 2,1 л, 18х9,5 см",https://www.auchan.ru/product/kastryulya-2-1l-so-steklyan-krysh-koln,96900,121999,Hitt
19790547,"Кастрюля Hitt Köln со стеклянной крышкой, 2,9 л, 20х10,5 см",https://www.auchan.ru/product/kastryulya-2-9l-steklyan-krysh-koln,107900,135299,Hitt
18827824,"Кастрюля Hitt Ботаника со стеклянной крышкой, 2 л",https://www.auchan.ru/product/kastryulya-2-0l-stek-kr-emal,,126399,Hitt
18935400,"Кастрюля Hitt Ботаника со стеклянной крышкой, 5 л",https://www.auchan.ru/product/kastryulya-5l-stek-kr-emal,,159999,Hitt
19796356,"Кастрюля Hitt Дракон с крышкой, 2 л",https://www.auchan.ru/product/kastryulya-emalir-s-metal-krysh-2l,127900,159899,Hitt
18827819,"Кастрюля Hitt Ирисы с крышкой, 2 л",https://www.auchan.ru/product/kastryulya-2-0l-s-kr-emal-2,,115699,Hitt
18827821,"Кастрюля Hitt Ирисы с крышкой, 3,5 л",https://www.auchan.ru/product/kastryulya-3-5l-s-kr-emal,,131799,Hitt
18827474,"Кастрюля Hitt Ирисы с крышкой, 5 л",https://www.auchan.ru/product/kastryulya-5-0l-s-kr-emal-2,,150599,Hitt
18827416,"Кастрюля Hitt Лаванда с крышкой, 3,5 л",https://www.auchan.ru/product/kastryulya-3-5l-s-kr-emal-2,,131799,Hitt
18730520,"Кастрюля Hitt Лимон эмалированная, 1,45 л",https://www.auchan.ru/product/kastryulya-1-45l-emal-limon,69995,99999,Hitt
18730550,"Кастрюля Hitt Лимон эмалированная, 4,3 л",https://www.auchan.ru/product/kastryulya-4-3l-emal-limon,99995,158399,Hitt
18730552,"Кастрюля Hitt Олива эмалированная, 4,3 л",https://www.auchan.ru/product/kastryulya-4-3l-emal-oliva,99995,158399,Hitt
18220023,"Кастрюля Hitt эмаль, 1,5 л",https://www.auchan.ru/product/kastryulya-1-5l-s-kr-emal,,116199,Hitt
18220121,"Кастрюля Hitt эмаль, 4,5 л",https://www.auchan.ru/product/kastryulya-4-5l-s-kr-emal,,150399,Hitt
18537689,"Кастрюля Metrot Куриный переполох глубокая со стеклянной крышкой 18 см, 3,1 л",https://www.auchan.ru/product/kastryulya-emal-stekl-kr-3-1l,,209598,Metrot
18537691,"Кастрюля Metrot Куриный переполох глубокая со стеклянной крышкой 24 см, 7,5 л",https://www.auchan.ru/product/kastryulya-emal-stekl-kr-7-5l,,304599,Metrot
20116392,"Кастрюля Polaris Graphit-20C Графитовый, 2,2 л",https://www.auchan.ru/product/kastryulya-grafitovyy-kov-al-2-2l,269900,503999,Polaris
20097236,"Кастрюля Polaris Graphit-24C Графитовый, 4,2 л",https://www.auchan.ru/product/kastryulya-grafitovyy-kov-al-4-2,379900,699999,Polaris
19207194,"Кастрюля Polaris PRO collection 20 см, 2,4 л",https://www.auchan.ru/product/kastryulya-pro-collection-20c,,541599,Polaris
19207191,"Кастрюля Polaris PRO collection 24 см, 4,1 л",https://www.auchan.ru/product/kastryulya-pro-collection-24c,,655099,Polaris
1759562,"Кастрюля Rondell Flamme для индукционных плит, 5,7 л",https://www.auchan.ru/product/kastryulya-rondell-flamme-dlya-indukcionnyh-plit-5-7-l,,429296,Rondell
16724473,"Кастрюля Rondell Poin с крышкой d 20 см, 2,8 л",https://www.auchan.ru/product/kastr-s-kr-2-8l-20sm-point,,289996,Rondell
906918,"Кастрюля Scovo, 4,5 л",https://www.auchan.ru/product/kastryulya-scovo-4-5-l,,50499,SCOVO
18690769,"Кастрюля TVS Natura Eco, 20 см",https://www.auchan.ru/product/kastryulya-natura-eco-20-sm,139995,249098,TVS
1759313,"Кастрюля Vitross Iseberg эмалированная для индукционных плит, 4 л",https://www.auchan.ru/product/kastryulya-vitross-iseberg-emalirovannaya-dlya-indukcionnyh-plit-4-l,,172399,Vitross
1703221,"Кастрюля Wow Uno стальная для индукционных плит, 4,3 л",https://www.auchan.ru/product/kastryulya-s-kryshkoy-wow-uno-stalnaya-dlya-indukcionnyh-plit-4-3-l,,150299,Wow Uno
1703051,"Кастрюля Wow Uno стальная, 1,6 л",https://www.auchan.ru/product/kastryulya-s-kryshkoy-wow-uno-stalnaya-1-6-l,,94999,Wow Uno
984147,"Кастрюля Wow Uno стальная, 2,4 л",https://www.auchan.ru/product/kastryulya-wow-uno-stalnaya-dlya-indukcionnyh-plit-2-4-l,,106199,Wow Uno
984146,"Кастрюля Wow Uno стальная, 3,6 л",https://www.auchan.ru/product/kastryulya-wow-uno-dlya-indukcionnyh-plit-3-6-l,,119199,Wow Uno
18636898,"Кастрюля «ГАРДАРИКА» с крышкой, 4 л",https://www.auchan.ru/product/kastryulya-alyuminievaya-s-kryshkoy-4l,159995,239398,ГАРДАРИКА
14956074,"Кастрюля «Каждый день» алюминиевая с антипригарным покрытием, 2 л",https://www.auchan.ru/product/kd-kastryulya-alyum-ap-p-2l-b-k,,55999,Каждый день
14956078,"Кастрюля «Каждый день» алюминиевая с антипригарным покрытием, 2,5 л",https://www.auchan.ru/product/kd-kastryulya-alyum-ap-p-2-5l-b-k,,62999,Каждый день
14956075,"Кастрюля «Каждый день» алюминиевая с антипригарным покрытием, 3,5 л",https://www.auchan.ru/product/kd-kastryulya-alyum-ap-p-3-5l-b-k,,65999,Каждый день
14956077,"Кастрюля «Каждый день» алюминиевая, 10 л",https://www.auchan.ru/product/kd-kastryulya-alyum-b-p-10l-b-k,,89999,Каждый день
14956079,"Кастрюля «Каждый день» алюминиевая, 15 л",https://www.auchan.ru/product/kd-kastryulya-alyum-b-p-15l-b-k,,119999,Каждый день
987269,"Кастрюля «Каждый день» эмалированная, 1,5 л",https://www.auchan.ru/product/kastryulya-kazhdyy-den-emalirovannaya-dlya-indukcionnyh-plit-1-5-l,,32999,Каждый день
987270,"Кастрюля «Каждый день» эмалированная, 3 л",https://www.auchan.ru/product/kastryulya-kazhdyy-den-emalirovannaya-dlya-indukcionnyh-plit-3-l,,39999,Каждый день
988061,"Кастрюля «Каждый день», 2,5 л",https://www.auchan.ru/product/kastryulya-kazhdyy-den-2-5-l,,26999,Каждый день
19694965,"Кастрюля «Катюша» 3D декор эмалированная, 2,2 л",https://www.auchan.ru/product/kast-emal-2-2l-3d-dek-s-krysh-katyusha,189000,234198,Катюша
19695032,"Кастрюля «Катюша» 3D декор эмалированная, 3 л",https://www.auchan.ru/product/kast-emal-3l-3d-dek-s-krysh-katyusha,199000,269099,Катюша
19699446,"Кастрюля «Катюша» 3D декор эмалированная, 4 л",https://www.auchan.ru/product/kast-emal-4l-3d-dek-s-krysh-katyusha,219000,280599,Катюша
17418771,"Кастрюля «Катюша» Листья эмалированная, 3 л",https://www.auchan.ru/product/kastryul-em-3l-listya-katyusha,159900,215998,Катюша
17418772,"Кастрюля «Катюша» Листья эмалированная, 4 л",https://www.auchan.ru/product/kastryul-em-4l-listya-katyusha,177900,236998,Катюша
17418773,"Кастрюля «Катюша» Листья эмалированная, 5 л",https://www.auchan.ru/product/kastryul-em-5l-listya-katyusha,192900,257998,Катюша
16659747,"Кастрюля «Катюша» Марта нержавеющая сталь 18х14 см, 3,3 л",https://www.auchan.ru/product/kastryul-marta-3-3l-katyusha,,260498,Катюша
12608582,"Кастрюля «Катюша» Марта, 1,6 л",https://www.auchan.ru/product/kastryulya-1-6-l-marta-katyusha,,194499,Катюша
12608583,"Кастрюля «Катюша» Марта, 2,3 л",https://www.auchan.ru/product/kastryulya-2-3-l-marta-katyusha,,217398,Катюша
12608585,"Кастрюля «Катюша» Марта, 4,1 л",https://www.auchan.ru/product/kastryulya-4-1-l-marta-katyusha,,293099,Катюша
12608586,"Кастрюля «Катюша» Марта, 6,7 л",https://www.auchan.ru/product/kastryulya-6-7-l-marta-katyusha,,331799,Катюша
12608587,"Кастрюля «Катюша» Марта, 8,3 л",https://www.auchan.ru/product/kastryulya-8-3-l-marta-katyusha,,378599,Катюша
19346443,"Кастрюля «Катюша» Мираж алюминиевая, 24х11 см, 3,9 л",https://www.auchan.ru/product/kastryulya-alyum-24h11-sm-mirazh-st,219994,299999,Катюша
17438333,"Кастрюля «Катюша» Мрамор эмалированная бежевая, 3 л",https://www.auchan.ru/product/kastryul-em-3l-mramor-bezh-katyush,169900,226998,Катюша
17438334,"Кастрюля «Катюша» Мрамор эмалированная бежевая, 4 л",https://www.auchan.ru/product/kastryul-em-4l-mramor-bezh-katyush,183900,246998,Катюша
17438335,"Кастрюля «Катюша» Мрамор эмалированная бежевая, 5 л",https://www.auchan.ru/product/kastryul-em-5l-mramor-bezh-katyush,199900,268999,Катюша
17438337,"Кастрюля «Катюша» Сияние эмалированная, 2,2 л",https://www.auchan.ru/product/kastr-em-2-2l-siyanie-kr-katyush,155900,208998,Катюша
17438338,"Кастрюля «Катюша» Сияние эмалированная, 3 л",https://www.auchan.ru/product/kastr-em-3l-siyanie-kras-katyush,169900,226998,Катюша
17438339,"Кастрюля «Катюша» Сияние эмалированная, 4 л",https://www.auchan.ru/product/kastr-em-4l-siyanie-kras-katyush,183900,246998,Катюша
16943704,"Кастрюля «Катюша» нержавеющая сталь 16х10см, 1,7 л",https://www.auchan.ru/product/kastryul-vega-1-7l-nerzh-katyusha,,151799,Катюша
16747889,"Кастрюля «Катюша» нержавеющая сталь 20х10см, 2,7 л",https://www.auchan.ru/product/kastryul-vega-2-7l-nerzh-katyusha,,186899,Катюша
16747890,"Кастрюля «Катюша» нержавеющая сталь 22х11см, 3,9 л",https://www.auchan.ru/product/kastryul-vega-3-9l-nerzh-katyusha,,223098,Катюша
16747891,"Кастрюля «Катюша» нержавеющая сталь 24х14см, 5,6 л",https://www.auchan.ru/product/kastryul-vega-5-6l-nerzh-katyusha,,246598,Катюша
15185631,"Кастрюля «Катюша» нержавеющая сталь Марта стеклянная крышка 30х14 см, 9,2 л",https://www.auchan.ru/product/kastryul-marta-9-2l-katyusha,,550899,Катюша
19699447,"Кастрюля «Катюша» эмалированная с крышкой, 3 л",https://www.auchan.ru/product/kastryulya-emal-3l-stekl-krysh-katyusha,199000,269099,Катюша
19694944,"Кастрюля «Катюша» эмалированная с крышкой, 4 л",https://www.auchan.ru/product/kastryulya-emal-4l-stekl-krysh-katyusha,219000,289099,Катюша
