"ID_на_сайте","Наименование","Ссылка","Промо_цена","Регулярная_цена","Бренд"
225945,"Чай Greenfield Jasmine Dream зеленый (2г х 100шт), 200г",https://online.metro-cc.ru/products/greenfield-zelenyj-jasmine-dream-100x2g,29900,35900,GREENFIELD
194482,"Чай Greenfield Jasmine Dream зеленый листовой, 200г",https://online.metro-cc.ru/products/greenfield-zelenyj-jasmine-dream-200g,23900,28900,GREENFIELD
165164,"Чай Greenfield Kenyan Sunrise черный (2г х 100шт), 200г",https://online.metro-cc.ru/products/greenfield-chernyj-kenyan-sunrise-100x2g,29900,35900,GREENFIELD
183269,"Чай Greenfield Kenyan Sunrise черный байховый (2г х 25 пак), 50г",https://online.metro-cc.ru/products/greenfield-chernyj-kenyan-sunrise-25x2g,9490,11100,GREENFIELD
188194,"Чай Greenfield Kenyan Sunrise черный листовой, 200г",https://online.metro-cc.ru/products/greenfield-chernyj-kenyan-sunrise-200g,23900,28900,GREENFIELD
506900,"Чай Greenfield Peach mellow peach зеленый (1.8г x 25шт), 45г",https://online.metro-cc.ru/products/greenfield-zelenyj-s-aromatom-persika-cedroj-mandarina-peach-mellow-25-18g,9490,11100,GREENFIELD
235031,"Чай Greenfield Rich Camomile (1.5г х 25шт), 38г",https://online.metro-cc.ru/products/greenfield-travyanoj-rich-camomile-25x15g,9490,11100,GREENFIELD
451658,"Чай Greenfield Rich Ceylon черный (2г x 20шт), 40г",https://online.metro-cc.ru/products/art_592282,10900,16900,GREENFIELD
506110,"Чай Greenfield Royal Earl Grey с бергамотом черный (2г x 20шт), 40г",https://online.metro-cc.ru/products/greenfield-chernyj-s-bergamotom-royal-earl-grey-v-sashe-20-piramidok,10900,16100,GREENFIELD
451647,"Чай Greenfield Sicilian Citrus черный с ароматом красного апельсина (1.8г х 20шт), 36г",https://online.metro-cc.ru/products/art_592281,10900,16200,GREENFIELD
463157,"Чай Greenfield Spring Melody (1.5г x 100шт), 150г",https://online.metro-cc.ru/products/greenfield-spring-melody-100-h-15-g,29900,35900,GREENFIELD
219178,"Чай Greenfield Summer Bouquet (2г х 25 пак), 50г",https://online.metro-cc.ru/products/greenfield-fruktovo-yagodno-travyanoj-summer-bouquet-25x2g,9490,11100,GREENFIELD
167934,"Чай Greenfield Summer Bouquet травяной (2г х 100шт), 200г",https://online.metro-cc.ru/products/greenfield-travyanoj-summer-bouquet-100x2g,29900,35900,GREENFIELD
507215,"Чай Greenfield Wildberry rooibos (1.5г x 25шт), 38г",https://online.metro-cc.ru/products/greenfield-napitok-wildberry-rooibos-s-kusochkami-yagod-zemlyaniki-klyukvy-25-pak,9490,11100,GREENFIELD
495577,"Чай Greenfield Меджик Юньнань черный (2г x 100шт), 200г",https://online.metro-cc.ru/products/greenfield-medzhik-yunnan-chernyj-100-2g,29900,35900,GREENFIELD
601742823,"Чай Greenfield набор 24 вида, 167г",https://online.metro-cc.ru/products/1672g-chay-greenfield-nabor-24-vida,,71900,GREENFIELD
